Sigla;Tipo;Tipo2;Natureza;Universidade;Descrição;Região;Estado;Cidade Sede;Título;nome_curto;Região no Portal;Estado Nome;Estado no Portal;Onde criar;TAGs
UFERSA;Universidade;Federal;Pública;Universidade Federal Rural do Semi-Árido;Universidade Federal Rural do Semi-Árido (UFERSA), localizada em Mossoró - RN, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;RN;Mossoró;UFERSA - Universidade Federal Rural do Semi-Árido;ufersa;Região Nordeste;Rio Grande do Norte;Rio Grande do Norte (RN);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/rio_grande_do_norte;"Região Nordeste ; Rio Grande do Norte ; UFERSA ; Universidade ; Federal ; Pública"
UFRN;Universidade;Federal;Pública;Universidade Federal do Rio Grande do Norte;Universidade Federal do Rio Grande do Norte (UFRN), localizada em Natal - RN, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;RN;Natal;UFRN - Universidade Federal do Rio Grande do Norte;ufrn;Região Nordeste;Rio Grande do Norte;Rio Grande do Norte (RN);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/rio_grande_do_norte;"Região Nordeste ; Rio Grande do Norte ; UFRN ; Universidade ; Federal ; Pública"
FURG;Universidade;Federal;Pública;Universidade Federal do Rio Grande;Universidade Federal do Rio Grande (FURG), localizada em Rio Grande - RS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;RS;Rio Grande;FURG - Universidade Federal do Rio Grande;furg;Região Sul;Rio Grande do Sul;Rio Grande do Sul (RS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/rio_grande_do_sul;"Região Sul ; Rio Grande do Sul ; FURG ; Universidade ; Federal ; Pública"
UFCSPA;Universidade;Federal;Pública;Universidade Federal de Ciências da Saúde de Porto Alegre;Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA), localizada em Porto Alegre - RS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;RS;Porto Alegre;UFCSPA - Universidade Federal de Ciências da Saúde de Porto Alegre;ufcspa;Região Sul;Rio Grande do Sul;Rio Grande do Sul (RS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/rio_grande_do_sul;"Região Sul ; Rio Grande do Sul ; UFCSPA ; Universidade ; Federal ; Pública"
UFPel;Universidade;Federal;Pública;Universidade Federal de Pelotas;Universidade Federal de Pelotas (UFPel), localizada em Pelotas - RS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;RS;Pelotas;UFPel - Universidade Federal de Pelotas;ufpel;Região Sul;Rio Grande do Sul;Rio Grande do Sul (RS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/rio_grande_do_sul;"Região Sul ; Rio Grande do Sul ; UFPel ; Universidade ; Federal ; Pública"
UFRGS;Universidade;Federal;Pública;Universidade Federal do Rio Grande do Sul;Universidade Federal do Rio Grande do Sul (UFRGS), localizada em Porto Alegre - RS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;RS;Porto Alegre;UFRGS - Universidade Federal do Rio Grande do Sul;ufrgs;Região Sul;Rio Grande do Sul;Rio Grande do Sul (RS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/rio_grande_do_sul;"Região Sul ; Rio Grande do Sul ; UFRGS ; Universidade ; Federal ; Pública"
UFSM;Universidade;Federal;Pública;Universidade Federal de Santa Maria;Universidade Federal de Santa Maria (UFSM), localizada em Santa Maria - RS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;RS;Santa Maria;UFSM - Universidade Federal de Santa Maria;ufsm;Região Sul;Rio Grande do Sul;Rio Grande do Sul (RS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/rio_grande_do_sul;"Região Sul ; Rio Grande do Sul ; UFSM ; Universidade ; Federal ; Pública"
UNIPAMPA;Universidade;Federal;Pública;Universidade Federal do Pampa;Universidade Federal do Pampa (UNIPAMPA), localizada em Bagé - RS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;RS;Bagé;UNIPAMPA - Universidade Federal do Pampa;unipampa;Região Sul;Rio Grande do Sul;Rio Grande do Sul (RS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/rio_grande_do_sul;"Região Sul ; Rio Grande do Sul ; UNIPAMPA ; Universidade ; Federal ; Pública"
UNIR;Universidade;Federal;Pública;Universidade Federal de Rondônia;Universidade Federal de Rondônia (UNIR), localizada em Porto Velho - RO, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;RO;Porto Velho;UNIR - Universidade Federal de Rondônia;unir;Região Norte;Rondônia;Rondônia (RO);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/rondonia;"Região Norte ; Rondônia ; UNIR ; Universidade ; Federal ; Pública"
UFRR;Universidade;Federal;Pública;Universidade Federal de Roraima;Universidade Federal de Roraima (UFRR), localizada em Boa Vista - RR, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;RR;Boa Vista;UFRR - Universidade Federal de Roraima;ufrr;Região Norte;Roraima;Roraima (RR);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/roraima;"Região Norte ; Roraima ; UFRR ; Universidade ; Federal ; Pública"
UFFS;Universidade;Federal;Pública;Universidade Federal da Fronteira Sul;Universidade Federal da Fronteira Sul (UFFS), localizada em Chapecó - SC, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;SC;Chapecó;UFFS - Universidade Federal da Fronteira Sul;uffs;Região Sul;Santa Catarina;Santa Catarina (SC);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/santa_catarina;"Região Sul ; Santa Catarina ; UFFS ; Universidade ; Federal ; Pública"
UFSC;Universidade;Federal;Pública;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina (UFSC), localizada em Florianópolis - SC, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;SC;Florianópolis;UFSC - Universidade Federal de Santa Catarina;ufsc;Região Sul;Santa Catarina;Santa Catarina (SC);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/santa_catarina;"Região Sul ; Santa Catarina ; UFSC ; Universidade ; Federal ; Pública"
UFABC;Universidade;Federal;Pública;Universidade Federal do ABC;Universidade Federal do ABC (UFABC), localizada em Santo André - SP, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;SP;Santo André;UFABC - Universidade Federal do ABC;ufabc;Região Sudeste;São Paulo;São Paulo (SP);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/sao_paulo;"Região Sudeste ; São Paulo ; UFABC ; Universidade ; Federal ; Pública"
UFSCar;Universidade;Federal;Pública;Universidade Federal de São Carlos;Universidade Federal de São Carlos (UFSCar), localizada em São Carlos - SP, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;SP;São Carlos;UFSCar - Universidade Federal de São Carlos;ufscar;Região Sudeste;São Paulo;São Paulo (SP);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/sao_paulo;"Região Sudeste ; São Paulo ; UFSCar ; Universidade ; Federal ; Pública"
UNIFESP;Universidade;Federal;Pública;Universidade Federal de São Paulo;Universidade Federal de São Paulo (UNIFESP), localizada em São Paulo - SP, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;SP;São Paulo;UNIFESP - Universidade Federal de São Paulo;unifesp;Região Sudeste;São Paulo;São Paulo (SP);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/sao_paulo;"Região Sudeste ; São Paulo ; UNIFESP ; Universidade ; Federal ; Pública"
UFS;Universidade;Federal;Pública;Universidade Federal de Sergipe;Universidade Federal de Sergipe (UFS), localizada em São Cristóvão - SE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;SE;São Cristóvão;UFS - Universidade Federal de Sergipe;ufs;Região Nordeste;Sergipe;Sergipe (SE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/sergipe;"Região Nordeste ; Sergipe ; UFS ; Universidade ; Federal ; Pública"
UFNT;Universidade;Federal;Pública;Universidade Federal do Norte do Tocantins;Universidade Federal do Norte do Tocantins (UFNT), localizada em Araguaína - TO, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;TO;Araguaína;UFNT - Universidade Federal do Norte do Tocantins;ufnt;Região Norte;Tocantins;Tocantins (TO);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/tocantins;"Região Norte ; Tocantins ; UFNT ; Universidade ; Federal ; Pública"
UFT;Universidade;Federal;Pública;Universidade Federal do Tocantins;Universidade Federal do Tocantins (UFT), localizada em Palmas - TO, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;TO;Palmas;UFT - Universidade Federal do Tocantins;uft;Região Norte;Tocantins;Tocantins (TO);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/tocantins;"Região Norte ; Tocantins ; UFT ; Universidade ; Federal ; Pública"
